Program;Program EN;Degree;Plan;Version;Total Hours;Level;Code;Course Name;English Name;Hours;Type;Category
الشريعة;Sharia;بكالوريوس;قديمة;39;174;6;2001301-2;تدوين السنة;;2;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;6;2001321-4;الفقه (6);;4;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;6;2001326-2;دلالات الألفاظ (2);;2;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;6;2001352-2;علم المواريث (2);;2;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;6;2001476-2;الأديان والفرق;;2;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;6;2002312-1;القرآن الكريم (6);;1;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;6;2003328-1;نظام الإجراءات الجزائية;;1;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;6;103349-2;النحو (4);;2;نظري;متطلبات جامعية
الشريعة;Sharia;بكالوريوس;قديمة;39;174;7;2001411-4;الفقه (7);;4;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;7;2001413-2;تخريج الفروع على الأصول;;2;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;7;2001414-4;القياس;;4;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;7;2001419-2;القواعد الفقهية (1);;2;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;7;2001493-2;تخريج ودراسة الأسانيد;;2;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;7;2002411-1;القرآن الكريم (7);;1;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;7;2003230-2;مبادئ القانون التجاري;;2;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;7;2003410-2;النظام القضائي في المملكة;;2;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;7;2004414-2;ثقافة إسلامية (4);;2;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;7;103141-2;البلاغة;;2;نظري;متطلبات جامعية
