Program;Degree;Code;Course Name;نوع المقرر
الشريعة;بكالوريوس;990416-2;الإعلام والمجتمع;مشترك
الشريعة;بكالوريوس;990417-2;الخدمة المجتمعية;مشترك
الدراسات القرآنية;دكتوراه;2002705-3;التفسير المقارن;فريد
الدراسات القرآنية;دكتوراه;2002706-3;النقد والتجديد في الدراسات القرآنية;فريد
الدراسات القرآنية;دكتوراه;2002707-3;دراسات في نسخ التفسير وأسانيده;فريد
الدراسات القرآنية;دكتوراه;2002708-3;دراسات في حواشي التفسير;فريد
الدراسات القرآنية;دكتوراه;20029999-0;الاختبار الشامل;مشترك
الدراسات القرآنية;دكتوراه;2002709-48;الرسالة;مشترك
القراءات;دكتوراه;2002700-4;فرش القراءات العشر الكبرى;فريد
القراءات;دكتوراه;2002701-4;عرض القراءات العشر الكبرى;فريد
القراءات;دكتوراه;2002702-2;دراسات في القراءات الشاذة وتوجيهها;فريد
القراءات;دكتوراه;2002703-2;دراسات في طبقات القراء وأسانيدهم;فريد
القراءات;دكتوراه;20029999-0;الاختبار الشامل;مشترك
القراءات;دكتوراه;2002704-48;الرسالة;مشترك
الدراسات القرآنية المعاصرة;ماجستير;2002851-4;أصول التفسير;فريد
الدراسات القرآنية المعاصرة;ماجستير;2002852-2;تاريخ التفسير;فريد
الدراسات القرآنية المعاصرة;ماجستير;2002853-2;دراسات في علوم القرآن;فريد
الدراسات القرآنية المعاصرة;ماجستير;2002854-2;علم القراءات دراية;فريد
الدراسات القرآنية المعاصرة;ماجستير;2002855-2;مصادر الدراسات القرآنية;فريد
الدراسات القرآنية المعاصرة;ماجستير;2002861-4;التفسير التحليلي;فريد
الدراسات القرآنية المعاصرة;ماجستير;2002862-2;الدراسات القرآنية عند المستشرقين;فريد
الدراسات القرآنية المعاصرة;ماجستير;2002863-2;منهج البحث والتحقيق;فريد
الدراسات القرآنية المعاصرة;ماجستير;2002864-2;دراسات في مناهج المفسرين;فريد
الدراسات القرآنية المعاصرة;ماجستير;2002871-2;التفسير الموضوعي;فريد
الدراسات القرآنية المعاصرة;ماجستير;2002872-2;النظريات الحداثية في القرآن;فريد
الدراسات القرآنية المعاصرة;ماجستير;2002873-2;دراسات في إعجاز القرآن;فريد
الدراسات القرآنية المعاصرة;ماجستير;2002874-2;دراسات في لغة القرآن;فريد
الدراسات القرآنية المعاصرة;ماجستير;2002888-4;مشروع بحثي;مشترك
القراءات;ماجستير;2002801-8;القراءات العشر الكبرى (1);فريد
القراءات;ماجستير;2002802-2;علم القراءات دراية;فريد
القراءات;ماجستير;2002803-2;دراسات في توجيه القراءات;فريد
القراءات;ماجستير;2002811-8;القراءات العشر الكبرى (2);فريد
القراءات;ماجستير;2002812-2;دراسات في المصاحف القرآنية;فريد
القراءات;ماجستير;2002813-2;منهج البحث والتحقيق;فريد
القراءات;ماجستير;2002821-8;القراءات العشر الكبرى (3);فريد
القراءات;ماجستير;2002831-4;مشروع بحثي;مشترك
الدراسات الإسلامية;بكالوريوس;2002131-2;علوم القرآن (1);مشترك
الدراسات الإسلامية;بكالوريوس;2002250-2;أصول التفسير ومناهجه;مشترك
الدراسات الإسلامية;بكالوريوس;20021105-2;قرآن كريم حفظ وتلاوة (1);فريد
الدراسات الإسلامية;بكالوريوس;20041102-2;علوم الحديث (1);مشترك
الدراسات الإسلامية;بكالوريوس;20041103-2;مقدمات علم العقيده (1);فريد
الدراسات الإسلامية;بكالوريوس;20041104-2;المدخل للشريعه والفقه الاسلامي (1);فريد
الدراسات الإسلامية;بكالوريوس;103171-2;التحرير العربي;مشترك
الدراسات الإسلامية;بكالوريوس;990311-2;المهارات الجامعية;مشترك
الدراسات الإسلامية;بكالوريوس;999812-2;اللغة الانجليزية للأغراض الأكاديمية (1);مشترك
الدراسات الإسلامية;بكالوريوس;2004111-2;أصول الثقافة الاسلامية;مشترك
الدراسات الإسلامية;بكالوريوس;20021201-2;قرآن كريم حفظ وتلاوة (2);فريد
الدراسات الإسلامية;بكالوريوس;20041201-2;التجويد;فريد
الدراسات الإسلامية;بكالوريوس;20041203-2;التفسير التحليلي (1);مشترك
الدراسات الإسلامية;بكالوريوس;20041204-2;حديث (1);فريد
الدراسات الإسلامية;بكالوريوس;20041205-2;الفقه (1);مشترك
الدراسات الإسلامية;بكالوريوس;20041206-2;العقيدة (1);مشترك
الدراسات الإسلامية;بكالوريوس;103281-2;النحو (1);مشترك
الدراسات الإسلامية;بكالوريوس;999813-2;اللغة الإنجليزية للأغراض الأكاديمية ٢;مشترك
الدراسات الإسلامية;بكالوريوس;2003220-2;المدخل لدراسة الأنظمة;مشترك
الدراسات الإسلامية;بكالوريوس;2004112-2;الثقافة الاسلامية (الأخلاق والقيم);مشترك
الدراسات الإسلامية;بكالوريوس;20022103-2;قرآن كريم حفظ وتلاوة (3);فريد
الدراسات الإسلامية;بكالوريوس;20042102-2;الفقه (2);مشترك
الدراسات الإسلامية;بكالوريوس;20042104-2;علوم القرآن (2);مشترك
الدراسات الإسلامية;بكالوريوس;20042105-2;العقيدة (2);مشترك
الدراسات الإسلامية;بكالوريوس;20042106-2;أصول فقه (1);فريد
الدراسات الإسلامية;بكالوريوس;20042107-2;علوم الحديث (2);مشترك
الدراسات الإسلامية;بكالوريوس;20022203-2;قرآن كريم حفظ وتلاوة (4);فريد
الدراسات الإسلامية;بكالوريوس;20042201-2;أحاديث أحكام (1);فريد
الدراسات الإسلامية;بكالوريوس;20042202-2;التفسير التحليلي (2);مشترك
الدراسات الإسلامية;بكالوريوس;20042203-2;العقيدة (3);مشترك
الدراسات الإسلامية;بكالوريوس;20042204-2;الفقه (3);مشترك
الدراسات الإسلامية;بكالوريوس;20042205-2;حديث (2);فريد
الدراسات الإسلامية;بكالوريوس;20042206-2;الدعوة والحسبة;فريد
الدراسات الإسلامية;بكالوريوس;103282-2;النحو (2);مشترك
الدراسات الإسلامية;بكالوريوس;105115-2;تاريخ المملكة;مشترك
الدراسات الإسلامية;بكالوريوس;2002310-2;قرآن كريم حفظ وتلاوة (5);فريد
الدراسات الإسلامية;بكالوريوس;20043101-2;التفسير الموضوعي;مشترك
الدراسات الإسلامية;بكالوريوس;20043102-2;العقيدة (4);مشترك
الدراسات الإسلامية;بكالوريوس;20043103-2;الاديان;فريد
الدراسات الإسلامية;بكالوريوس;20043104-2;الفقه (4);مشترك
الدراسات الإسلامية;بكالوريوس;20043105-2;الفقه المقارن;مشترك
الدراسات الإسلامية;بكالوريوس;20043106-2;اصول الفقه (2);فريد
الدراسات الإسلامية;بكالوريوس;20043107-2;حديث (3);فريد
الدراسات الإسلامية;بكالوريوس;20043108-2;علم المواريث (1);فريد
الدراسات الإسلامية;بكالوريوس;2004313-2;ثقافة إسلامية (3);مشترك
الدراسات الإسلامية;بكالوريوس;20023203-2;قرآن كريم حفظ وتلاوة (6);فريد
الدراسات الإسلامية;بكالوريوس;20043201-2;العقيدة (5);فريد
الدراسات الإسلامية;بكالوريوس;20043202-2;القواعد الفقهية;مشترك
الدراسات الإسلامية;بكالوريوس;20043203-2;أحدايث احكام (2);فريد
الدراسات الإسلامية;بكالوريوس;20043204-2;الفقه (5);مشترك
الدراسات الإسلامية;بكالوريوس;20043205-2;التفسير التحليلي (3);مشترك
الدراسات الإسلامية;بكالوريوس;20043206-2;تخريج الحديث;فريد
الدراسات الإسلامية;بكالوريوس;103245-2;النحو (3);مشترك
الدراسات الإسلامية;بكالوريوس;2004414-2;ثقافة إسلامية (4);مشترك
الدراسات الإسلامية;بكالوريوس;20024103-2;قرآن كريم حفظ وتلاوة (7);فريد
الدراسات الإسلامية;بكالوريوس;20044101-2;أصول فقه (3);فريد
الدراسات الإسلامية;بكالوريوس;20044102-2;العقيدة (6);فريد
الدراسات الإسلامية;بكالوريوس;20044103-2;مناهج البحث;مشترك
الدراسات الإسلامية;بكالوريوس;20044104-2;دراسة اسانيد;فريد
الدراسات الإسلامية;بكالوريوس;20044105-2;الفقه (6);مشترك
الدراسات الإسلامية;بكالوريوس;20044106-2;فقه النوازل والمعاملات المصرفية;فريد
الدراسات الإسلامية;بكالوريوس;20044107-2;حديث (4);فريد
الدراسات الإسلامية;بكالوريوس;20024203-2;قرآن كريم حفظ وتلاوة (8);فريد
الدراسات الإسلامية;بكالوريوس;20044201-2;الفقه (7);مشترك
الدراسات الإسلامية;بكالوريوس;20044202-2;بحث التخرج;فريد
الدراسات الإسلامية;بكالوريوس;20044203-2;التفسير التحليلي (4);فريد
الدراسات الإسلامية;بكالوريوس;20044204-2;المذاهب والتيارات المعاصرة;مشترك
الدراسات الإسلامية;بكالوريوس;20044205-2;الفرق;مشترك
الدراسات الإسلامية;بكالوريوس;20044206-2;علم المواريث (2);مشترك
الدراسات الإسلامية;بكالوريوس;20044207-2;السيرة النبوية;مشترك
الدراسات الإسلامية;بكالوريوس;20044208-2;أحاديث أحكام (3);فريد
الدراسات الإسلامية;بكالوريوس;990113-2;الثقافة الصحية;مشترك
الدراسات الإسلامية;بكالوريوس;990312-2;الابتكار وريادة الأعمال;مشترك
الدراسات الإسلامية;بكالوريوس;990411-2;مبادئ البرمجة;مشترك
الدراسات الإسلامية;بكالوريوس;990412-2;المواطنة الرقمية;مشترك
الدراسات الإسلامية;بكالوريوس;990416-2;الإعلام والمجتمع;مشترك
الدراسات الإسلامية;بكالوريوس;990417-2;الخدمة المجتمعية;مشترك
القراءات;بكالوريوس;2001106-2;السيرة النبوية;مشترك
القراءات;بكالوريوس;2002102-4;أصول القراءات السبع (1);فريد
القراءات;بكالوريوس;2002103-2;التجويد (1);مشترك
القراءات;بكالوريوس;2002104-2;آداب حملة القرآن;مشترك
القراءات;بكالوريوس;2002110-2;مدخل إلى علوم القراءات;مشترك
القراءات;بكالوريوس;2002131-2;علوم القرآن (1);مشترك
القراءات;بكالوريوس;990311-2;المهارات الجامعية;مشترك
القراءات;بكالوريوس;999801-2;اللغة الانجليزية للأغراض الأكاديمية (1);مشترك
القراءات;بكالوريوس;2001101-2;مصطلح الحديث;مشترك
القراءات;بكالوريوس;2002105-4;أصول القراءات السبع (2);فريد
القراءات;بكالوريوس;2002106-2;التجويد (2);مشترك
القراءات;بكالوريوس;2002232-2;علوم القرآن (2);مشترك
القراءات;بكالوريوس;2002250-2;أصول التفسير ومناهجه;مشترك
القراءات;بكالوريوس;2004111-2;أصول الثقافة الاسلامية;مشترك
القراءات;بكالوريوس;103171-2;التحرير العربي;مشترك
القراءات;بكالوريوس;103281-2;النحو (1);مشترك
القراءات;بكالوريوس;105115-2;تاريخ المملكة;مشترك
القراءات;بكالوريوس;999813-2;اللغة الإنجليزية للأغراض الأكاديمية ٢;مشترك
القراءات;بكالوريوس;2001205-2;الحديث (1);مشترك
القراءات;بكالوريوس;2001221-2;الفقة (1);مشترك
القراءات;بكالوريوس;2001273-2;العقيدة (1);مشترك
القراءات;بكالوريوس;2002201-2;فرش القراءات السبع (1);فريد
القراءات;بكالوريوس;2002203-4;عرض القراءات السبع (1);فريد
القراءات;بكالوريوس;2002204-2;التفسير (1);مشترك
القراءات;بكالوريوس;2004112-2;الثقافة الاسلامية (الأخلاق والقيم);مشترك
القراءات;بكالوريوس;103282-2;النحو (2);مشترك
القراءات;بكالوريوس;2001209-2;الحديث (2);مشترك
القراءات;بكالوريوس;2001245-2;العقيدة (2);مشترك
القراءات;بكالوريوس;2001322-2;الفقه (2);مشترك
القراءات;بكالوريوس;2002206-2;فرش القراءات السبع (2);فريد
القراءات;بكالوريوس;2002207-4;عرض القراءات السبع (2);فريد
القراءات;بكالوريوس;2002208-2;التفسير (2);مشترك
القراءات;بكالوريوس;103245-2;النحو (3);مشترك
القراءات;بكالوريوس;200230-2;فرش القراءات السبع (3);مشترك
القراءات;بكالوريوس;2001445-2;أصول الفقه;فريد
القراءات;بكالوريوس;2002302-4;عرض القراءات السبع (3);فريد
القراءات;بكالوريوس;2002305-2;رسم المصحف (1);فريد
القراءات;بكالوريوس;2002306-2;التفسير (3);مشترك
القراءات;بكالوريوس;2002503-2;توجيه القراءات;مشترك
القراءات;بكالوريوس;103349-2;النحو (4);مشترك
القراءات;بكالوريوس;2001320-2;الحديث (3);مشترك
القراءات;بكالوريوس;2001340-2;التخريج;مشترك
القراءات;بكالوريوس;2001373-2;العقيدة (3);مشترك
القراءات;بكالوريوس;2002307-2;فرش القراءات السبع (4);فريد
القراءات;بكالوريوس;2002308-4;عرض القراءات السبع (4);فريد
القراءات;بكالوريوس;2002309-2;رسم المصحف (2);فريد
القراءات;بكالوريوس;2002454-2;التفسير الموضوعي;مشترك
القراءات;بكالوريوس;2004313-2;ثقافة إسلامية (3);مشترك
القراءات;بكالوريوس;2001403-2;المعاصرة الأديان والفرق والمذاهب;مشترك
